detail,server_id,national_id,duration,timestamp
Withdrawal,75373417,GHA-822025033-6,179,2022-06-16 18:20:30.000000
Payment of Fees,88742759,GHA-866155930-1,68,2022-08-28 17:07:51.000000
Deposit,88742759,GHA-835159986-8,184,2022-09-14 22:31:19.000000
Foreign Exchange,87365268,GHA-212084857-4,104,2022-07-10 18:30:53.000000
Withdrawal,75373417,GHA-905745080-9,161,2022-08-05 19:07:36.000000
Withdrawal,87365268,GHA-650727099-8,253,2022-07-10 18:30:53.000000
Deposit,87365268,GHA-770274610-7,73,2022-07-18 16:10:15.000000
Bill Payment,87365268,GHA-914560055-0,175,2022-07-06 23:15:02.000000
Withdrawal,55734681,GHA-901858975-6,248,2022-09-06 16:15:10.000000
Payment of Fees,88742759,GHA-433491281-7,150,2022-07-26 23:14:32.000000
Bill Payment,87365268,GHA-460331254-8,241,2022-07-23 23:28:49.000000
Foreign Exchange,55734681,GHA-208015447-8,102,2022-07-17 21:32:00.000000
Bill Payment,75373417,GHA-484810485-9,300,2022-07-18 16:10:15.000000
Foreign Exchange,75373417,GHA-948153136-0,251,2022-09-14 22:31:19.000000
Deposit,75373417,GHA-650727099-8,269,2022-08-23 23:45:28.000000
Bill Payment,88742759,GHA-541585094-1,241,2022-06-17 16:53:18.000000
Withdrawal,88742759,GHA-272339844-0,258,2022-07-15 22:00:25.000000
Foreign Exchange,75373417,GHA-901858975-6,108,2022-08-23 23:45:28.000000
Withdrawal,87365268,GHA-650727099-8,142,2022-08-25 18:53:27.000000
Deposit,75373417,GHA-662472534-5,156,2022-07-02 17:00:50.000000
Payment of Fees,55734681,GHA-987273578-0,94,2022-08-08 19:05:11.000000
Withdrawal,87365268,GHA-172176828-9,287,2022-06-24 16:27:35.000000
Withdrawal,87365268,GHA-756243901-7,175,2022-06-25 23:21:02.000000
Foreign Exchange,87365268,GHA-163601744-9,67,2022-09-07 21:28:47.000000
Foreign Exchange,55734681,GHA-617939896-2,104,2022-08-10 18:51:56.000000
Bill Payment,75373417,GHA-616004860-0,73,2022-07-10 18:30:53.000000
Withdrawal,75373417,GHA-592178505-9,92,2022-07-17 21:32:00.000000
Bill Payment,55734681,GHA-417140671-5,163,2022-08-28 17:07:51.000000
Deposit,55734681,GHA-594110698-5,144,2022-06-19 20:09:47.000000
Bill Payment,75373417,GHA-173756323-5,241,2022-08-11 22:43:15.000000
Deposit,88742759,GHA-323989498-6,93,2022-09-06 16:15:10.000000
Payment of Fees,75373417,GHA-293306692-9,233,2022-08-09 20:04:33.000000
Deposit,55734681,GHA-486581405-1,183,2022-07-02 17:00:50.000000
